Latitude,Longitude,Accuracy,Drainage Name,Year,Month,Day,lat_lon
18.47959,-66.2718,Approximate,Greater Antilles,2015,1.0,1.0,"(-66.2718, 18.47959)"
18.47517,-66.31457,Accurate,Greater Antilles,2014,7.0,29.0,"(-66.31457, 18.47517)"
18.34776,-65.57049,Approximate,Greater Antilles,2012,3.0,29.0,"(-65.57049, 18.34776)"
18.3804,-65.58351,Approximate,Greater Antilles,2012,3.0,22.0,"(-65.58351, 18.3804)"
18.38451,-65.59228,Approximate,Greater Antilles,2012,12.0,28.0,"(-65.59228, 18.38451)"
18.37174,-65.63887,Accurate,Greater Antilles,2014,2.0,28.0,"(-65.63887, 18.37174)"
17.94154,-66.87492,Accurate,Greater Antilles,2013,5.0,20.0,"(-66.87492, 17.94154)"
17.94135,-66.8719,Approximate,Greater Antilles,2014,10.0,4.0,"(-66.8719, 17.94135)"
17.94135,-66.8719,Accurate,Greater Antilles,2014,2.0,28.0,"(-66.8719, 17.94135)"
17.9524,-66.87863,Accurate,Southern Puerto Rico,2019,3.0,18.0,"(-66.87863, 17.9524)"
17.92885,-66.20435,Accurate,Greater Antilles,2010,3.0,11.0,"(-66.20435, 17.92885)"
17.928147,-66.205111,Accurate,Greater Antilles,2010,11.0,3.0,"(-66.205111, 17.928147)"
18.51525,-67.10069,Accurate,Greater Antilles,2014,6.0,14.0,"(-67.10069, 18.51525)"
17.9664333,-66.991,Accurate,Greater Antilles,2009,1.0,17.0,"(-66.991, 17.9664333)"
17.96306,-67.036,Approximate,Greater Antilles,2013,5.0,24.0,"(-67.036, 17.96306)"
18.45773,-65.96645,Accurate,Greater Antilles,2012,5.0,5.0,"(-65.96645, 18.45773)"
18.4545,-65.96867,Approximate,Eastern Puerto Rico,2016,6.0,17.0,"(-65.96867, 18.4545)"
18.376845,-65.71352,Approximate,Greater Antilles,2010,3.0,,"(-65.71352, 18.376845)"
18.39324,-65.72925,Accurate,Greater Antilles,2012,7.0,1.0,"(-65.72925, 18.39324)"
18.39079,-65.71906,Accurate,Greater Antilles,2014,3.0,22.0,"(-65.71906, 18.39079)"
18.47245,-66.48302,Approximate,Greater Antilles,2020,4.0,18.0,"(-66.48302, 18.47245)"
18.47245,-66.48302,Approximate,Greater Antilles,2014,3.0,14.0,"(-66.48302, 18.47245)"
17.9762,-65.9901,Accurate,Southern Puerto Rico,2010,11.0,16.0,"(-65.9901, 17.9762)"
18.0064,-66.0157,Accurate,Southern Puerto Rico,2014,3.0,25.0,"(-66.0157, 18.0064)"
17.906876,-66.51226,Accurate,Greater Antilles,2009,5.0,8.0,"(-66.51226, 17.906876)"
18.42104,-65.79297,Approximate,Eastern Puerto Rico,2016,3.0,12.0,"(-65.79297, 18.42104)"
18.32117,-67.24822,Accurate,Greater Antilles,2016,1.0,31.0,"(-67.24822, 18.32117)"
18.34957,-67.26443,Approximate,Greater Antilles,2016,1.0,5.0,"(-67.26443, 18.34957)"
18.32809,-67.25108,Accurate,Culebrinas-Guanajibo,2021,5.0,26.0,"(-67.25108, 18.32809)"
18.3615,-67.2759,Accurate,Greater Antilles,2009,6.0,11.0,"(-67.2759, 18.3615)"
17.955182,-66.218009,Accurate,Greater Antilles,2010,11.0,3.0,"(-66.218009, 17.955182)"
18.465281,-66.085199,Accurate,Greater Antilles,2021,6.0,28.0,"(-66.085199, 18.465281)"
18.46704,-66.09131,Accurate,Greater Antilles,2017,8.0,28.0,"(-66.09131, 18.46704)"
18.47028,-66.10611,Approximate,Greater Antilles,2020,10.0,18.0,"(-66.10611, 18.47028)"
18.46036,-66.08319,Accurate,Eastern Puerto Rico,2020,9.0,27.0,"(-66.08319, 18.46036)"
18.46036,-66.08319,Accurate,Eastern Puerto Rico,2020,9.0,27.0,"(-66.08319, 18.46036)"
18.46132,-66.08438,Approximate,Greater Antilles,2020,10.0,16.0,"(-66.08438, 18.46132)"
18.46599,-66.093,Accurate,Eastern Puerto Rico,2021,12.0,22.0,"(-66.093, 18.46599)"
18.46199,-66.08308,Accurate,,2021,9.0,4.0,"(-66.08308, 18.46199)"
18.46784,-66.10473,Accurate,Eastern Puerto Rico,2019,5.0,5.0,"(-66.10473, 18.46784)"
18.46773,-66.08975,Accurate,Greater Antilles,2019,2.0,27.0,"(-66.08975, 18.46773)"
18.46773,-66.08975,Accurate,Greater Antilles,2018,8.0,1.0,"(-66.08975, 18.46773)"
18.45841,-66.08022,Approximate,,2018,4.0,1.0,"(-66.08022, 18.45841)"
18.45841,-66.08022,Approximate,,2018,4.0,1.0,"(-66.08022, 18.45841)"
18.45959,-66.07826,Accurate,Eastern Puerto Rico,2018,4.0,24.0,"(-66.07826, 18.45959)"
18.47,-66.11,Accurate,,2018,3.0,13.0,"(-66.11, 18.47)"
18.465281,-66.085199,Accurate,Greater Antilles,2010,12.0,13.0,"(-66.085199, 18.465281)"
18.46,-66.0767,Accurate,Greater Antilles,2010,7.0,5.0,"(-66.0767, 18.46)"
18.46174,-66.0833,Accurate,Greater Antilles,2016,8.0,17.0,"(-66.0833, 18.46174)"
18.46895,-66.08891,Approximate,Greater Antilles,2017,12.0,25.0,"(-66.08891, 18.46895)"
18.46746,-66.0899,Approximate,Greater Antilles,2020,1.0,1.0,"(-66.0899, 18.46746)"
18.45647,-66.07893,Accurate,Greater Antilles,2015,,,"(-66.07893, 18.45647)"
18.46228,-66.08434,Approximate,Greater Antilles,2015,6.0,14.0,"(-66.08434, 18.46228)"
18.46044,-66.07697,Approximate,Greater Antilles,2012,1.0,8.0,"(-66.07697, 18.46044)"
18.46746,-66.0899,Approximate,Greater Antilles,2013,9.0,11.0,"(-66.0899, 18.46746)"
17.98507,-66.43589,Approximate,Southern Puerto Rico,2020,2.0,2.0,"(-66.43589, 17.98507)"
18.47418,-66.18681,Accurate,Greater Antilles,2012,6.0,17.0,"(-66.18681, 18.47418)"
18.47562,-66.18713,Accurate,Greater Antilles,2012,2.0,20.0,"(-66.18713, 18.47562)"
18.47498,-66.32024,Accurate,Cibuco-Guajataca,2021,6.0,11.0,"(-66.32024, 18.47498)"
18.48985,-66.41573,Accurate,Greater Antilles,2021,8.0,8.0,"(-66.41573, 18.48985)"
18.49217,-66.39988,Accurate,Greater Antilles,2016,3.0,30.0,"(-66.39988, 18.49217)"
18.48978,-66.41341,Accurate,Cibuco-Guajataca,2012,12.0,30.0,"(-66.41341, 18.48978)"
18.10993,-65.37903,Accurate,,2020,2.0,10.0,"(-65.37903, 18.10993)"
18.10657,-65.4124,Accurate,,2022,1.0,16.0,"(-65.4124, 18.10657)"
18.10081,-65.57752,Accurate,Greater Antilles,2020,1.0,7.0,"(-65.57752, 18.10081)"
18.12375,-65.36949,Accurate,,2018,10.0,29.0,"(-65.36949, 18.12375)"
18.45727,-65.46936,Approximate,Greater Antilles,2012,2.0,27.0,"(-65.46936, 18.45727)"
18.45727,-65.46936,Approximate,Greater Antilles,2012,7.0,28.0,"(-65.46936, 18.45727)"
18.089483,-65.473838,Accurate,Greater Antilles,2011,1.0,6.0,"(-65.473838, 18.089483)"
18.090462,-65.449011,Accurate,Greater Antilles,2011,1.0,1.0,"(-65.449011, 18.090462)"
18.08983,-65.448732,Accurate,Greater Antilles,2011,2.0,2.0,"(-65.448732, 18.08983)"
18.1105,-65.3882,Approximate,Greater Antilles,2008,11.0,9.0,"(-65.3882, 18.1105)"
18.14917,-65.44528,Accurate,Greater Antilles,2013,7.0,6.0,"(-65.44528, 18.14917)"
18.14295,-65.51343,Approximate,Greater Antilles,2013,6.0,17.0,"(-65.51343, 18.14295)"
18.11089,-65.40089,Approximate,Greater Antilles,2013,7.0,24.0,"(-65.40089, 18.11089)"
18.15967,-65.43436,Approximate,Greater Antilles,2013,7.0,5.0,"(-65.43436, 18.15967)"
18.14295,-65.51343,Approximate,Greater Antilles,2014,3.0,1.0,"(-65.51343, 18.14295)"
18.09288,-65.44244,Accurate,Greater Antilles,2014,3.0,4.0,"(-65.44244, 18.09288)"
18.11059,-65.39133,Approximate,Greater Antilles,2015,7.0,19.0,"(-65.39133, 18.11059)"
18.1167,-65.4167,Accurate,Puerto Rican Islands,2015,10.0,12.0,"(-65.4167, 18.1167)"
18.10187,-65.44373,Approximate,Greater Antilles,2016,3.0,17.0,"(-65.44373, 18.10187)"
18.14295,-65.51343,Approximate,Greater Antilles,2014,6.0,4.0,"(-65.51343, 18.14295)"
